period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2016-10,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),14.87,$/MCF
2016-09,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),17.34,$/MCF
2016-08,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),17.86,$/MCF
2016-07,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),16.64,$/MCF
2016-06,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),14.69,$/MCF
2016-05,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),10.99,$/MCF
2016-04,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),9.88,$/MCF
2016-03,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),9.64,$/MCF
2016-02,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),9.45,$/MCF
2016-01,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),10.3,$/MCF
2015-12,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),11.43,$/MCF
2015-11,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),12.26,$/MCF
2015-10,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),14.24,$/MCF
2015-09,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),17.5,$/MCF
2015-08,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),17.3,$/MCF
2015-07,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),17.09,$/MCF
2015-06,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),16.26,$/MCF
2015-05,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),12.68,$/MCF
2015-04,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),10.19,$/MCF
2015-03,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),9.34,$/MCF
2015-02,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),9.79,$/MCF
2015-01,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),10.51,$/MCF
2014-12,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),10.66,$/MCF
2014-11,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),12.27,$/MCF
2014-10,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),15.99,$/MCF
2014-09,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),17.86,$/MCF
2014-08,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),18.88,$/MCF
2014-07,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),18.99,$/MCF
2014-06,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),17.99,$/MCF
2014-05,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),14.55,$/MCF
2014-04,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),12.49,$/MCF
2014-03,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),11.78,$/MCF
2014-02,SNY,NEW YORK,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010NY3,New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),11.32,$/MCF
